Code dossier BHL,Rubrique courte,Sexe,Statut,Statut religieux,Rubrique,Relations : Dossiers BHL / Codes BHL,Relations : Dossiers BHL / Saints,type.canondate
Anastasius03,Anastasius erem. in Gallia,homme,ecclésiastique,régulier,Anastasius erem. in Gallia,"['BHL 0405 | Vita auct. Galterio', 'BHL 0406 | Inventio corporis', 'BHL Anastasius03 |']",['Anastasius (212)'],
Anastasius04,Anastasius ep. Interamne,homme,ecclésiastique,séculier,Anastasius ep. Interamne,"['BHL 0407 | Legenda (de vita, inventione, translatione, miraculis)', 'BHL 0407b | Vita et obitus', 'BHL Anastasius04 |']",['Anastasius (213)'],
Anastasius05,Anastasius Persa et soc.,homme,ecclésiastique,régulier,Anastasius Persa et soc. m. in Assyria,"['BHL 0408 | Passio. a.', 'BHL 0409 | Passio. a. (om. paene toto prologo)', 'BHL 0410 | Passio. b.', 'BHL 0410b | Passio. b*.', 'BHL 0411 | Passio. c. (auct. seu interprete Gregorio clerico)', 'BHL 0411d | Passio', 'BHL 0412 | Miraculum Romae ad Aquas Salvias a', 'BHL 0413 | Miraculum Romae ad Aquas Salvias. b.', 'BHL 0413b | Passio. Des. b', 'BHL Anastasius05 |']",['Anastasius (214)'],
Anastasius06,Anastasius m. Salonae,homme,laïc,séculier,Anastasius m. Salonae,"['BHL 0414 | Passio', 'BHL 0415 | Passio', 'BHL Anastasius06 |']",['Anastasius (215)'],
Anastasius07,Anastasius ab. Suppentoniae,homme,ecclésiastique,régulier,Anastasius ab. Suppentoniae,['BHL Anastasius07 |'],['Anastasius (216)'],
Anatalon,Anatalon ep. Mediolanensis,homme,ecclésiastique,séculier,Anatalon ep. Mediolanensis,"['BHL 0416 | Vita', 'BHL Anatalon |']",['Anatalon (217)'],
Anatolia,Anatolia et Audax,mixte,laïc,séculier,Anatolia et Audax m. in diocesi Reatina,"['BHL 0417 | Passio', 'BHL 0418 | Passio', 'BHL 0418a | Passio. Des. b', 'BHL 0418b | Passio. Des. g', 'BHL 0418c | Passio', 'BHL 0419 | Carmen auct. Adhelmo', 'BHL 0420 | Carmen auct. Flodoardo', 'BHL 0421 | Inventio saec. X', 'BHL Anatolia |']","['Anatolia (218)', 'Audax (362)']",
Anatolius,Anatolius cultus Salinis,homme,ecclésiastique,séculier,Anatolius ep. cultus Salinis in Burgundia,"['BHL 0422 | Vita', 'BHL Anatolius |']",['Anatolius (219)'],
Ancilla,Ancilla christiana captiva,femme,laïc,séculier,Ancilla christiana captiva apud Iberos trans Pontum,"['BHL 9029 | Narratio', 'BHL Ancilla |']",['Ancilla (220)'],
Andeolus,Andeolus m. in territorio Vivariensi,homme,ecclésiastique,séculier,Andeolus subdiac. m. in territorio Vivariensi,"['BHL 0423 | Passio', 'BHL 0423c | Inventio', 'BHL Andeolus |']",['Andeolus (221)'],
Andochius,Andochius Thyrsus et Felix,homme,indéterminé,séculier,"Andochius, Thyrsus et Felix m. in territorio Augustodunensi","['BHL 0424 | Passio', 'BHL 0425 | Passio. b', 'BHL 0426 | Passio', 'BHL 0427 | Passio brevior', 'BHL Andochius |']","['Andochius (222)', 'Felix (1137)', 'Thyrsus (3046)']",
Andreas01,Andreas apost.,homme,ecclésiastique,séculier,Andreas apost.,"['BHL 0427t | Laudatio brevis', 'BHL 0428 | Passio', 'BHL 0428a | Alia (om. primis verbis) initia huius passionis', 'BHL 0428b | Alia initia eiusdem Passionis. b', 'BHL 0428c | Alia initia eiusdem Passionis. g', 'BHL 0428d | Miraculum', 'BHL 0428g | Homilia Gregorii papae', 'BHL 0429 | Passio', 'BHL 0429b | Acta Andreae et Matthiae', 'BHL 0429d | Acta eorundem', 'BHL 0430 | Liber de miraculis auct. Gregorio Turonensi', 'BHL 0431 | Miracula. I', 'BHL 0432 | Miracula. II', 'BHL 0432b | Miracula', 'BHL 0432d | Miracula', 'BHL 0433 | Translatio Cpolim saec. IV', 'BHL 0434 | Translatio Cpoli Amalphim an. 1216, auct. Matthaeo archidiac.', 'BHL 0434b | Translatio Amalphim.', 'BHL 0435 | Translatio brachii (cum brachio S. Lucae) Romam saec. VI', 'BHL 0436 | Translatio reliquiarum in Scotiam saec. VIII. b', 'BHL 0437 | Translatio reliquiarum in Scotiam saec. VIII. b.', 'BHL 0438 | Translatio reliquiarum in Scotiam saec. VIII. c.', 'BHL 0439 | Translatio capitis Romam an. 1462. a. (auct. Alexio de Caesaris ep. Clusino, perperam adscripta Pio II papae). Des. a', 'BHL 0439b | Translatio capitis Romam an. 1462. a. (auct. Alexio de Caesaris ep. Clusino, perperam adscripta Pio II papae). Des. b', ""BHL 0439d | Prologus in translatione, qui inc. 'Si quae sunt memoriae commendanda...'"", 'BHL 0439h | Translatio (in cod. Vat. lat. 4951)', 'BHL 0440 | Translatio capitis Romam an. 1462. b.', 'BHL 0441 | Translatio capitis Romam an. 1462. c.', 'BHL 0442 | Miraculum in ecclesia Eveshamensi', 'BHL 0442b | Prologi seu laudationes', 'BHL 0442c | Prologi seu laudationes. II', 'BHL Andreas01 |']",['Andreas (224)'],
Andreas02,Andreas ab. Averbodiensis,homme,ecclésiastique,régulier,Andreas ab. Averbodiensis,"['BHL 0443 | Vita auct. Nicolao Hoochlant ab. Middelburgensi', 'BHL Andreas02 |']",['Andreas (225)'],
Andreas03,Andreas de Chio,homme,laïc,séculier,Andreas de Chio m.,"['BHL 0444 | Passio auct. Georgio Trapezuntio', 'BHL Andreas03 |']",['Andreas (226)'],
Andreas04,Andreas de Comitibus,homme,ecclésiastique,régulier,Andreas de Comitibus seu de Anagnia,['BHL Andreas04 |'],['Andreas (227)'],
Andreas05,Andreas Corsinus ep. Faesulanus,homme,ecclésiastique,régulier,Andreas Corsinus ep. Faesulanus,"['BHL 0445 | Vita (auct. Petro Andrea de Castaneis?)', 'BHL 0446 | Vita', 'BHL Andreas05 |']",['Andreas (228)'],
Andreas06,Andreas archidiac. Faesulanus,homme,ecclésiastique,séculier,Andreas archidiac. Faesulanus,"['BHL 0447 | Vita', 'BHL 0448 | Vita (versio antiqua [?] ex italico) a', 'BHL 0449 | 2. Vita (versio antiqua ? ex Italico). b.', 'BHL 0449a | Epitome', 'BHL Andreas06 |']",['Andreas (229)'],
Andreas07,Andreas ep. Fundanus,homme,ecclésiastique,séculier,Andreas ep. Fundanus,['BHL Andreas07 |'],['Andreas (230)'],
Andreas08,Andreas de Galleranis,homme,laïc,séculier,Andreas de Galleranis,"['BHL 0450 | Vita', 'BHL Andreas08 |']",['Andreas (231)'],
Andreas09,Andreas Hispellas Ord. Min.,homme,ecclésiastique,régulier,Andreas Hispellas Ord. Min. in Umbria,"['BHL 0451 | Vitae auct. Thoma de Hispello epitome', 'BHL Andreas09 |']",['Andreas (232)'],
0,[Dossier non identifié ou inconnu],indéterminé,non pertinent,non pertinent,[Dossier non identifié ou inconnu],"['BHL 0 | [Textes sur un saint non identifié ou inconnu]', 'BHL 0 | [Textes sur un saint non identifié ou inconnu]']","['[Inconnu] (3812)', '[Non répertorié] (3817)']",
00,[Oeuvres para-hagiographiques],indéterminé,non pertinent,non pertinent,[Oeuvres para-hagiographiques],[],[],
,Abbanus ab. Magharnuidhiensis,homme,ecclésiastique,régulier,Abbanus ab. Magharnuidhiensis,"['BHL 0001 | Vita', 'BHL 0001a | Vita', 'BHL Abbanus |']",['Abbanus (2)'],
Abbo01,Abbo ep. Autisiodorensis,homme,ecclésiastique,séculier,Abbo ep. Autisiodorensis,['BHL Abbo01 |'],['Abbo (3)'],
Abbo02,Abbo ab. Floriacensis,homme,ecclésiastique,régulier,Abbo ab. Floriacensis,"['BHL 0002 | 1. De caede Abbonis (epist. encyclica monachorum Floriacensium)', 'BHL 0003 | Vita auct. Aimoino', 'BHL 0004 | Miracula auct. Aimoino', 'BHL 0005 | Vitae epitome', 'BHL Abbo02 |']",['Abbo (4)'],
Abdon,Abdon et Sennen m. Romae,homme,laïc,séculier,Abdon et Sennen m. Romae,"['BHL 0006 | Passio', 'BHL 0006a | Alia initia eiusdem passionis', 'BHL 0006b | Alia initia passionis BHL 6. b', 'BHL 0006c | Alia initia passionis BHL 6. g', 'BHL 0006d | Alia initia passionis BHL 6. d', 'BHL 0007 | Passio', 'BHL 0007b | Passio', 'BHL 0008 | Translatio ad monasterium Arulense', 'BHL Abdon |']","['Abdon (5)', 'Sennen (2793)']",
Abibus,Abibus m. Edessae,homme,laïc,séculier,Abibus m. Edessae,"['BHL 0008b | Passio', 'BHL 0008c | Passio', 'BHL Abibus |']",['Abibus (3332)'],
Abraham01,"Abraham, Isaac, Iacob patriarchae",homme,laïc,séculier,"Abraham, Isaac, Iacob patriarchae","['BHL 0009 | Inventio an. 1119/1120. Des. a', 'BHL 0009a | Inventio an. 1119/1120. Des. b', 'BHL 0010 | Epitome eiusdem narrationis', 'BHL 0011 | Alia narratio eiusdem inventionis', 'BHL Abraham01 |']","['Abraham (7)', 'Iacob (1572)', 'Isaac (1701)']",
Abraham02,Abraham et Maria,mixte,laïc,séculier,Abraham et Maria in Hellesponto,"['BHL 0012 | Vita auct. Ephraem', 'BHL 0012a | Vita S. Ephraem adscripta', 'BHL 0012b | (Vita S. Mariae)', 'BHL 0012c | Vita. Om. sex ultimis capitibus', 'BHL 0012d | Prologus. Mutato ordine primorum verborum, inc. ""Admirabilis viri atque perfecti cupio vobis enarrare...""', 'BHL 0012e | Vita', 'BHL 0012f | Vita', 'BHL 0013 | Comoedia auct. Hrotsuita', 'BHL Abraham02 |']","['Abraham (8)', 'Maria (2039)']",
Abraham03,Abraham ab. Claromontanus,homme,ecclésiastique,régulier,Abraham ab. Claromontanus,"['BHL 0014 | Vita auct. Gregorio Turon.', 'BHL Abraham03 |']",['Abraham (9)'],
Abundantia,Abundantia v. Spoleti,femme,laïc,séculier,Abundantia v. Spoleti,"['BHL 0014b | Vita (antiqua ?)', 'BHL Abundantia |']",['Abundantia (3333)'],
Abundius01,Abundius ep. Comensis,homme,ecclésiastique,séculier,Abundius ep. Comensis,"['BHL 0015 | Vita', 'BHL Abundius01 |']",['Abundius (14)'],
Abundius02,Abundius m. Cordubae,homme,ecclésiastique,séculier,Abundius presb. m. Cordubae,['BHL Abundius02 |'],['Abundius (15)'],
Abundius03,Abundius et soc. m. Romae,homme,indéterminé,séculier,"Abundius presb., Abundantius diac., Marcianus et Iohannes m. Romae","['BHL 0016 | Passio', 'BHL 0016b | Passio', 'BHL 0017 | Epitome passionis', 'BHL 0018 | Inventio et translatio cca an. 1000', 'BHL Abundius03 |']","['Abundantius (10)', 'Abundius (16)', 'Iohannes (1617)', 'Marcianus (2012)']",
Abundius04,Abundius mansionarius,homme,ecclésiastique,séculier,Abundius seu Acontius mansionarius S. Petri Romae,['BHL Abundius04 |'],['Abundius (17)'],
Abundius05,Abundius m. Spoleti,homme,laïc,séculier,Abundius m. Spoleti,"['BHL 0019 | Translatio Bercetum an. 850', 'BHL Abundius05 |']",['Abundius (18)'],
Abundius06,Abundius mon. Villariensis,homme,ecclésiastique,régulier,Abundius mon. Villariensis,"['BHL 0018c | Vita auct. Gossuino de Bossuto', 'BHL Abundius06 |']",['Abundius (3343)'],
Acacius01,Acacius et soc. in Monte Ararath,homme,laïc,séculier,Acacius primicerius et soc. 10000 crucifixi in Monte Ararath,"['BHL 0020 | Passio, interprete Anastasio bibliothecario', 'BHL 0020a | Passio, interprete Anastasio bibliothecario. Des. b', 'BHL 0020b | Passio. Aliae recensiones et epitomae. a*', 'BHL 0020c | Passio. Aliae recensiones et epitomae. a**', 'BHL 0020f | Passio. Aliae recensiones et epitomae. a***', 'BHL 0020g | Passio. Aliae recensiones et epitomae. a****', 'BHL 0020h | Passio. Aliae recensiones et epitomae. a*****', 'BHL 0021 | Epitomae', 'BHL 0021b | Passio', 'BHL 0022 | Epitomae', 'BHL 0022b | Passio', 'BHL 0023 | Epitomae', 'BHL 0024 | Epitomae', 'BHL 0024b | Passio. Des. a', 'BHL 0024c | Passio. Des. b', 'BHL 0024d | Passio. Des. g', 'BHL 0024e | Alia initia eiusdem passionis', 'BHL 0024f | Alia initia eisudem Passionis. b', 'BHL 0024g | Alia initia eisudem Passionis. g', 'BHL 0024h | Alia initia eisudem Passionis. d', 'BHL 0024k | Alia initia eisudem Passionis. e', 'BHL 0024m | Alia initia eisudem Passionis. z', 'BHL Acacius01 |']",['Acacius (19)'],
Acacius02,Acacius ep. (Melitenae ?),homme,ecclésiastique,séculier,Acacius ep. (Melitenae in Armenia minore ?),"['BHL 0025 | Acta disputationis', 'BHL Acacius02 |']",['Acacius (20)'],
Acca,Acca ep. Hagulstadensis,homme,ecclésiastique,séculier,Acca ep. Hagulstadensis,['BHL Acca |'],['Acca (22)'],
Acindynus,Acindynus et soc. m. in Perside,homme,laïc,séculier,"Acindynus, Pegasius et soc. m. in Perside","['BHL 0025m | Passio', 'BHL Acindynus |']","['Acindynus (28)', 'Pegasius (2413)']",
Acisclus,Acisclus et Victoria m. Cordubae,mixte,laïc,séculier,Acisclus et Victoria m. Cordubae,"['BHL 0026 | Passio', 'BHL 0027 | Passio', 'BHL Acisclus |']","['Acisclus (29)', 'Victoria (3173)']",
Adalarius,Adalarius et Eobanus ep.,homme,ecclésiastique,séculier,Adalarius et Eobanus ep.,"['BHL 0027b | Passio et translatio', 'BHL Adalarius |']","['Adalarius (3334)', 'Eobanus (3335)']",
Adalbero01,Adalbero ep. Augustanus,homme,ecclésiastique,séculier,Adalbero ep. Augustanus,"['BHL 0028 | Vita auct. Oudascalco', 'BHL Adalbero01 |']",['Adalbero (31)'],
Adalbero02,Adalbero II ep. Mettensis,homme,ecclésiastique,séculier,Adalbero II ep. Mettensis,"['BHL 0029 | Vita auct. Constantino ab.', 'BHL Adalbero02 |']",['Adalbero (32)'],
Adalbero03,Adalbero ep. Wirziburgensis,homme,ecclésiastique,séculier,Adalbero ep. Wirziburgensis,"['BHL 0030 | Vita auct. mon. Lambacensi', 'BHL 0031 | Miracula auct. mon. Lambacensi', 'BHL 0032 | Vita metrica', 'BHL Adalbero03 |']",['Adalbero (33)'],
Adalbertus01,Adalbertus diac. Egmondae,homme,ecclésiastique,séculier,Adalbertus diac. Egmondae in Hollandia,"['BHL 0033 | Vita et miracula auct. Ruoperto Mediolacensi', 'BHL 0033a | Vitae epitome auct. monacho Egmondensi', 'BHL 0034 | Miraculo auct. monacho Egmondano saec. XII', 'BHL 0035 | Miracula ab Egmondensibus addita saec. XIV et XV', 'BHL 0036 | Miracula ab Egmondanis addita saec. XIV', 'BHL 0036a | Miracula duo an. 1473', 'BHL 0036e | Narratio', 'BHL Adalbertus01 |']",['Adalbertus (34)'],
Adalbertus02,Adalbertus ep. Pragensis,homme,ecclésiastique,séculier,Adalbertus-Vojtechus ep. Pragensis,"['BHL 0037 | Vita auct. Iohanne Canapario', 'BHL 0037a | (Redactio ""Aventinensis"")', 'BHL 0037b | (Redactio ""Cassinensis"")', 'BHL 0038 | Vita auct. Brunone Querfurtensi', 'BHL 0039 | Recensio brevior', 'BHL 0040 | Passio', 'BHL 0041 | Vita metrica perperam adscripta Cosmae Pragensi', 'BHL 0042 | Vita', 'BHL 0043 | Vita', 'BHL 0044 | Miracula', 'BHL 0045 | Miracula', 'BHL 0046 | Vita', 'BHL 0047 | Vita', 'BHL 0048 | Vita', 'BHL 0049 | Vita', 'BHL 0050 | Vita', 'BHL 0051 | Translatio', 'BHL 0052 | Sermo', 'BHL 0053 | Sermonis fragmentum', 'BHL 0054 | Sermo', 'BHL 0055 | Legenda', 'BHL 0056 | Legenda', 'BHL 0056d | Narratiuncula', 'BHL Adalbertus02 |']",['Adalbertus (35)'],0997
