"Id","fa_sexe","fa_statut","fa_statut_rel"
"Abacuc (1)","homme","laïc","séculier"
"Abdon (5)","homme","laïc","séculier"
"Abibus (6)","homme","ecclésiastique","séculier"
"Abraham (7)","homme","laïc","séculier"
"Abraham (8)","homme","laïc","séculier"
"Abundantius (10)","homme","ecclésiastique","séculier"
"Abundius (11)","homme","ecclésiastique","séculier"
"Abundius (12)","homme","laïc","séculier"
"Abundius (13)","homme","n.c.","séculier"
"Abundius (16)","homme","ecclésiastique","séculier"
"Acca (21)","homme","ecclésiastique","séculier"
"Accursius (23)","homme","ecclésiastique","régulier"
"Acestus (24)","homme","laïc","séculier"
"Achilleus (25)","homme","ecclésiastique","séculier"
"Achilleus (26)","homme","laïc","séculier"
"Achivus (27)","homme","ecclésiastique","régulier"
"Acindynus (28)","homme","laïc","séculier"
"Acisclus (29)","homme","laïc","séculier"
"Acutius (30)","homme","ecclésiastique","séculier"
"Adauctus (44)","homme","laïc","séculier"
"Adiutus (53)","homme","ecclésiastique","régulier"
"Adulfus (55)","homme","laïc","séculier"
"Adulfus (56)","homme","ecclésiastique","régulier"
"Adventor (57)","homme","laïc","séculier"
"Aemilianus (64)","homme","laïc","séculier"
"Afra (66)","femme","laïc","séculier"
"Agape (68)","femme","laïc","séculier"
"Agapitus (72)","homme","ecclésiastique","séculier"
"Agapius (73)","homme","laïc","séculier"
"Aglibertus (81)","homme","indéterminé","séculier"
"Agnofleda (87)","femme","laïc","séculier"
"Agricola (90)","homme","laïc","séculier"
"Albanus (104)","homme","ecclésiastique","séculier"
"Alchmundus (119)","homme","ecclésiastique","séculier"
"Alexander (131)","homme","ecclésiastique","séculier"
"Alexander (132)","homme","laïc","séculier"
"Alexander (133)","homme","laïc","séculier"
"Alexander (134)","homme","ecclésiastique","séculier"
"Almarus (147)","homme","laïc","séculier"
"Alodia (149)","femme","laïc","séculier"
"Amandus (166)","homme","laïc","séculier"
"Amator (177)","homme","ecclésiastique","séculier"
"Ambrosius (181)","homme","ecclésiastique","régulier"
"Amelius (188)","homme","ecclésiastique","séculier"
"Amon (195)","homme","ecclésiastique","séculier"
"Ampelius (198)","homme","laïc","séculier"
"Ananias (203)","homme","laïc","séculier"
"Anastasius (206)","homme","laïc","séculier"
"Anastasius (207)","homme","laïc","séculier"
"Anastasius (208)","homme","ecclésiastique","régulier"
"Anastasius (alius) (209)","homme","ecclésiastique","régulier"
"Anastasius (211)","homme","ecclésiastique","séculier"
"Anatolia (218)","femme","laïc","séculier"
"Andochius (222)","homme","ecclésiastique","séculier"
"Andreas (223)","homme","laïc","séculier"
"Andreas (233)","homme","ecclésiastique","régulier"
"Andronicus (234)","homme","laïc","séculier"
"Angelus (239)","homme","ecclésiastique","régulier"
"Anicetus (251)","homme","laïc","séculier"
"Annianus (254)","homme","ecclésiastique","séculier"
"Ansanus (257)","homme","laïc","séculier"
"Anthes (272)","homme","laïc","séculier"
"Anthimus (273)","homme","ecclésiastique","séculier"
"Antia (274)","femme","laïc","séculier"
"Antoninus (278)","homme","ecclésiastique","séculier"
"Antonius (291)","homme","ecclésiastique","régulier"
"Apollinaris (298)","homme","laïc","séculier"
"Apollo (303)","homme","laïc","séculier"
"Apollonius (307)","homme","laïc","séculier"
"Apollonius (308)","homme","laïc","séculier"
"Apuleius (311)","homme","laïc","séculier"
"Archelaa (315)","femme","laïc","séculier"
"Argentea (321)","femme","laïc","séculier"
"Arsenius (338)","homme","ecclésiastique","régulier"
"Artemius (342)","homme","laïc","séculier"
"Astion (350)","homme","ecclésiastique","régulier"
"Asturius (351)","homme","laïc","séculier"
"Atalenus (352)","homme","ecclésiastique","séculier"
"Auceia (358)","homme","laïc","séculier"
"Audaldus (361)","homme","laïc","séculier"
"Audifax (363)","homme","laïc","séculier"
"Augurius (366)","homme","ecclésiastique","séculier"
"Aurea (372)","femme","laïc","séculier"
"Aurelius (377)","homme","laïc","séculier"
"Aureus (378)","homme","ecclésiastique","séculier"
"Auxentius (387)","homme","laïc","séculier"
"Bacchus (395)","homme","laïc","séculier"
"Barlaam (415)","homme","ecclésiastique","régulier"
"Barontus (418)","homme","ecclésiastique","régulier"
"Barulas (422)","homme","laïc","séculier"
"Basilissa (426)","femme","ecclésiastique","régulier"
"Bassa (431)","homme","laïc","séculier"
"Baya (437)","femme","laïc","séculier"
"Beatrix (438)","femme","laïc","séculier"
"Beldinis (446)","femme","ecclésiastique","séculier"
"Benedictus (449)","homme","laïc","séculier"
"Benedictus (460)","homme","ecclésiastique","régulier"
"Benignus (463)","homme","ecclésiastique","séculier"
"Beraldus (470)","homme","ecclésiastique","régulier"
"Bertholdus (501)","homme","ecclésiastique","régulier"
"Bibiana (515)","femme","laïc","séculier"
"Bonifatius (536)","homme","ecclésiastique","séculier"
"Bonifatius (537)","homme","laïc","séculier"
"Bonosus (550)","homme","laïc","séculier"
"Bova (553)","femme","ecclésiastique","régulier"
"Brigida (561)","femme","laïc","séculier"
"Britta (564)","femme","laïc","séculier"
"Caecilius (581)","homme","ecclésiastique","séculier"
"Caesarius (586)","homme","ecclésiastique","séculier"
"Calepodius (589)","homme","ecclésiastique","séculier"
"Callinicus (591)","homme","laïc","séculier"
"Calocerus (596)","homme","laïc","séculier"
"Candida (599)","femme","laïc","séculier"
"Candida (600)","femme","laïc","régulier"
"Candidianus (603)","homme","laïc","séculier"
"Cantianilla (607)","femme","laïc","séculier"
"Cantianus (608)","homme","laïc","séculier"
"Caprasius (613)","homme","laïc","séculier"
"Caritas (621)","femme","laïc","séculier"
"Carponius (626)","homme","laïc","séculier"
"Carpophorus (628)","homme","laïc","séculier"
"Carpophorus (629)","homme","laïc","séculier"
"Cassius (637)","homme","ecclésiastique","séculier"
"Cassius (638)","homme","laïc","séculier"
"Castorius (641)","homme","laïc","séculier"
"Castus (646)","homme","ecclésiastique","séculier"
"Celedonius (655)","homme","laïc","séculier"
"Celsus (658)","homme","laïc","séculier"
"Centolla (662)","femme","laïc","séculier"
"Cerealis (665)","homme","laïc","séculier"
"Chiona (667)","femme","laïc","séculier"
"Christeta (670)","femme","laïc","séculier"
"Christina (674)","femme","ecclésiastique","régulier"
"Christophorus (678)","homme","ecclésiastique","régulier"
"Chromatius (682)","homme","laïc","séculier"
"Chrysantus (684)","homme","laïc","séculier"
"Cirycus (688)","homme","laïc","séculier"
"Claudius (695)","homme","laïc","séculier"
"Claudius (696)","homme","laïc","séculier"
"Claudius (697)","homme","laïc","séculier"
"Claudius (698)","homme","laïc","séculier"
"Clemens (700)","homme","laïc","séculier"
"Conradus (727)","homme","ecclésiastique","régulier"
"Constantius (736)","homme","laïc","séculier"
"Corona (751)","femme","laïc","séculier"
"Corona (752)","femme","laïc","séculier"
"Cosmas (753)","homme","laïc","séculier"
"Cottus (755)","homme","laïc","séculier"
"Crescentia (758)","femme","laïc","séculier"
"Crescentinus (760)","homme","laïc","séculier"
"Crispinianus (765)","homme","laïc","séculier"
"Crotas (768)","homme","laïc","séculier"
"Ctesiphon (769)","homme","ecclésiastique","séculier"
"Culmatus (772)","homme","ecclésiastique","séculier"
"Cyprianus (780)","homme","laïc","séculier"
"Cyprianus (781)","homme","laïc","séculier"
"Cyprianus (783)","homme","ecclésiastique","séculier"
"Cyriacus (785)","homme","ecclésiastique","séculier"
"Cyriacus (786)","homme","laïc","séculier"
"Cyrillus (791)","homme","ecclésiastique","séculier"
"Cyrus (793)","homme","laïc","séculier"
"Dafrosa (794)","femme","laïc","séculier"
"Damianus (801)","homme","ecclésiastique","séculier"
"Daniel (804)","homme","ecclésiastique","régulier"
"Dativus (808)","homme","laïc","séculier"
"David (811)","homme","laïc","séculier"
"Decentius (816)","homme","ecclésiastique","séculier"
"Demetrius (824)","homme","laïc","séculier"
"Desiderius (832)","homme","ecclésiastique","séculier"
"Desiderius (838)","homme","ecclésiastique","séculier"
"Didymus (846)","homme","laïc","séculier"
"Digna (847)","femme","laïc","séculier"
"Digna (848)","femme","ecclésiastique","régulier"
"Digna (849)","femme","ecclésiastique","séculier"
"Digna (850)","femme","laïc","séculier"
"Diodorus (851)","homme","ecclésiastique","séculier"
"Dionysia (853)","femme","laïc","séculier"
"Dionysius (858)","homme","ecclésiastique","séculier"
"Domneo (878)","homme","laïc","séculier"
"Domnina (879)","femme","laïc","séculier"
"Donatianus (885)","homme","laïc","séculier"
"Donatilla (887)","femme","laïc","séculier"
"Donatus (888)","homme","ecclésiastique","séculier"
"Donatus (889)","homme","laïc","séculier"
"Donatus (894)","homme","laïc","séculier"
"Dorothea (899)","femme","laïc","séculier"
"Dorothea (901)","femme","laïc","séculier"
"Dorotheus (904)","homme","laïc","séculier"
"Dympna (913)","femme","laïc","séculier"
"Eata (914)","homme","ecclésiastique","séculier"
"Eleusippus (946)","homme","laïc","séculier"
"Eleutherius (947)","homme","ecclésiastique","séculier"
"Elfleda (954)","femme","ecclésiastique","régulier"
"Emanus (965)","homme","ecclésiastique","séculier"
"Emila (973)","homme","laïc","séculier"
"Eovaldus (983)","homme","laïc","séculier"
"Epimachus (988)","homme","laïc","séculier"
"Erasma (994)","femme","laïc","séculier"
"Ethelbertus (1016)","homme","laïc","séculier"
"Eucarpio (1026)","homme","laïc","séculier"
"Eucharius (1027)","homme","ecclésiastique","séculier"
"Eugenia (1033)","femme","laïc","séculier"
"Eugenius (1034)","homme","laïc","séculier"
"Eugenius (1035)","homme","ecclésiastique","séculier"
"Eulogius (1046)","homme","ecclésiastique","séculier"
"Eumenia (1047)","femme","laïc","séculier"
"Eumenia (1048)","femme","ecclésiastique","séculier"
"Euphemia (1050)","femme","laïc","séculier"
"Euphemia (1052)","femme","laïc","séculier"
"Euphrasius (1054)","homme","ecclésiastique","séculier"
"Euprepia (1059)","femme","laïc","séculier"
"Eusebius (1064)","homme","laïc","séculier"
"Eusebius (1069)","homme","laïc","séculier"
"Eustachius (1073)","homme","laïc","séculier"
"Eutropia (1081)","femme","laïc","séculier"
"Eutyches (1084)","homme","laïc","séculier"
"Eutyches (1085)","homme","ecclésiastique","séculier"
"Eutyches (1086)","homme","laïc","séculier"
"Eutychius (1090)","homme","ecclésiastique","régulier"
"Eventius (1093)","homme","ecclésiastique","séculier"
"Evilasius (1096)","homme","laïc","séculier"
"Ewaldus (1099)","homme","ecclésiastique","séculier"
"Exantus (1100)","homme","laïc","séculier"
"Exsuperius (1101)","homme","laïc","séculier"
"Ezo (1106)","homme","laïc","séculier"
"Facundus (1111)","homme","laïc","séculier"
"Faustinus (1119)","homme","laïc","séculier"
"Faustinus (1120)","homme","ecclésiastique","séculier"
"Faustus (1121)","homme","laïc","séculier"
"Faustus (1122)","homme","laïc","séculier"
"Faustus (1123)","homme","laïc","séculier"
"Felicianus (1127)","homme","laïc","séculier"
"Felicianus (1128)","homme","laïc","séculier"
"Felicianus (1129)","homme","laïc","séculier"
"Felicissima (1130)","femme","laïc","séculier"
"Felicitas (1133)","femme","laïc","séculier"
"Felinus (1135)","homme","laïc","séculier"
"Felix (1137)","homme","laïc","séculier"
"Felix (1140)","homme","laïc","séculier"
"Felix (1141)","homme","laïc","séculier"
"Felix (1142)","homme","laïc","séculier"
"Felix (1143)","homme","laïc","séculier"
"Felix (1144)","homme","ecclésiastique","régulier"
"Felix (1150)","homme","laïc","séculier"
"Felix (1162)","homme","laïc","séculier"
"Felix (1165)","homme","ecclésiastique","séculier"
"Ferreolus (1170)","homme","ecclésiastique","séculier"
"Festus (1175)","homme","ecclésiastique","séculier"
"Fides (1179)","femme","laïc","séculier"
"Fides (1180)","femme","laïc","séculier"
"Firmus (1199)","homme","laïc","séculier"
"Flavianus (1201)","homme","laïc","séculier"
"Flavianus (1203)","homme","ecclésiastique","séculier"
"Flora (1205)","femme","laïc","séculier"
"Flora (1206)","femme","laïc","séculier"
"Florentia (1209)","femme","laïc","séculier"
"Florentinus (1210)","homme","ecclésiastique","séculier"
"Florentius (1212)","homme","laïc","séculier"
"Florentius (1213)","homme","laïc","séculier"
"Florentius (1217)","homme","laïc","séculier"
"Florentius (1218)","homme","ecclésiastique","séculier"
"Fortunatus (1229)","homme","ecclésiastique","séculier"
"Fortunatus (1233)","homme","laïc","séculier"
"Fridenbertus (1248)","homme","ecclésiastique","séculier"
"Fusca (1267)","femme","laïc","séculier"
"Fuscianus (1268)","homme","laïc","séculier"
"Gallicanus (1278)","homme","laïc","séculier"
"Geminianus (1303)","homme","laïc","séculier"
"Gentianus (1315)","homme","laïc","séculier"
"Gereon (1338)","homme","laïc","séculier"
