Type de sainteté,Titulaire du dossier,Nom,Statut religieux,Statut,Sexe,Id
martyr,non,Abacuc,séculier,laïc,homme,Abacuc (1)
conf.,oui,Abbanus,régulier,ecclésiastique,homme,Abbanus (2)
conf.,oui,Abbo,séculier,ecclésiastique,homme,Abbo (3)
conf.,oui,Abbo,régulier,ecclésiastique,homme,Abbo (4)
martyr,oui,Abdon,séculier,laïc,homme,Abdon (5)
martyr,non,Abibus,séculier,ecclésiastique,homme,Abibus (6)
conf.,oui,Abraham,séculier,laïc,homme,Abraham (7)
conf.,oui,Abraham,séculier,laïc,homme,Abraham (8)
conf.,oui,Abraham,régulier,ecclésiastique,homme,Abraham (9)
martyr,non,Abundantius,séculier,ecclésiastique,homme,Abundantius (10)
martyr,non,Abundius,séculier,ecclésiastique,homme,Abundius (11)
n.c.,non,Abundius,séculier,laïc,homme,Abundius (12)
martyr,non,Abundius,séculier,n.c.,homme,Abundius (13)
conf.,oui,Abundius,séculier,ecclésiastique,homme,Abundius (14)
martyr,oui,Abundius,séculier,ecclésiastique,homme,Abundius (15)
martyr,oui,Abundius,séculier,ecclésiastique,homme,Abundius (16)
conf.,oui,Abundius,séculier,ecclésiastique,homme,Abundius (17)
martyr,oui,Abundius,séculier,laïc,homme,Abundius (18)
martyr,oui,Acacius,séculier,laïc,homme,Acacius (19)
conf.,oui,Acacius,séculier,ecclésiastique,homme,Acacius (20)
conf.,non,Acca,séculier,ecclésiastique,homme,Acca (21)
conf.,oui,Acca,séculier,ecclésiastique,homme,Acca (22)
martyr,non,Accursius,régulier,ecclésiastique,homme,Accursius (23)
martyr,non,Acestus,séculier,laïc,homme,Acestus (24)
martyr,non,Achilleus,séculier,ecclésiastique,homme,Achilleus (25)
martyr,non,Achilleus,séculier,laïc,homme,Achilleus (26)
conf.,non,Achivus,régulier,ecclésiastique,homme,Achivus (27)
martyr,oui,Acindynus,séculier,laïc,homme,Acindynus (28)
martyr,oui,Acisclus,séculier,laïc,homme,Acisclus (29)
martyr,non,Acutius,séculier,ecclésiastique,homme,Acutius (30)
conf.,oui,Adalbero,séculier,ecclésiastique,homme,Adalbero (31)
conf.,oui,Adalbero,séculier,ecclésiastique,homme,Adalbero (32)
conf.,oui,Adalbero,séculier,ecclésiastique,homme,Adalbero (33)
conf.,oui,Adalbertus,séculier,ecclésiastique,homme,Adalbertus (34)
martyr,oui,Adalbertus,séculier,ecclésiastique,homme,Adalbertus (35)
conf.,oui,Adalgisus,séculier,ecclésiastique,homme,Adalgisus (36)
conf.,oui,Adalhardus,régulier,ecclésiastique,homme,Adalhardus (37)
conf.,oui,Adalheida,séculier,laïc,femme,Adalheida (38)
conf.,oui,Adalheidis,régulier,ecclésiastique,femme,Adalheidis (39)
conf.,oui,Adalricus,séculier,laïc,homme,Adalricus (40)
conf.,oui,Adam,séculier,laïc,homme,Adam (41)
conf.,oui,Adamnanus,séculier,ecclésiastique,homme,Adamnanus (42)
conf.,oui,Adamnanus,régulier,ecclésiastique,homme,Adamnanus (43)
martyr,non,Adauctus,séculier,laïc,homme,Adauctus (44)
conf.,oui,Adegrinus,régulier,ecclésiastique,homme,Adegrinus (45)
conf.,oui,Adelelmus,régulier,ecclésiastique,homme,Adelelmus (46)
conf.,oui,Adelphius,régulier,ecclésiastique,homme,Adelphius (47)
conf.,oui,Adelphus,séculier,ecclésiastique,homme,Adelphus (48)
conf.,oui,Ademarus,régulier,ecclésiastique,homme,Ademarus (49)
conf.,oui,Aderaldus,séculier,ecclésiastique,homme,Aderaldus (50)
conf.,oui,Aderitus,séculier,ecclésiastique,homme,Aderitus (51)
conf.,oui,Adiutor,régulier,ecclésiastique,homme,Adiutor (52)
martyr,non,Adiutus,régulier,ecclésiastique,homme,Adiutus (53)
conf.,oui,Ado,séculier,ecclésiastique,homme,Ado (54)
martyr,oui,Adulfus,séculier,laïc,homme,Adulfus (55)
conf.,non,Adulfus,régulier,ecclésiastique,homme,Adulfus (56)
martyr,oui,Adventor,séculier,laïc,homme,Adventor (57)
conf.,oui,Aegidius,régulier,ecclésiastique,homme,Aegidius (58)
conf.,oui,Aegidius,régulier,ecclésiastique,homme,Aegidius (59)
conf.,oui,Aemilianus,séculier,ecclésiastique,homme,Aemilianus (60)
conf.,oui,Aemilianus,séculier,ecclésiastique,homme,Aemilianus (61)
conf.,oui,Aemilianus,séculier,ecclésiastique,homme,Aemilianus (62)
martyr,oui,Aemilianus,séculier,ecclésiastique,homme,Aemilianus (63)
conf.,oui,Aemilianus,séculier,laïc,homme,Aemilianus (64)
martyr,oui,Aemilianus,séculier,ecclésiastique,homme,Aemilianus (65)
martyr,oui,Afra,séculier,laïc,femme,Afra (66)
martyr,oui,Afra,séculier,laïc,femme,Afra (67)
martyr,oui,Agape,séculier,laïc,femme,Agape (68)
conf.,oui,Agapetus,séculier,ecclésiastique,homme,Agapetus (69)
martyr,oui,Agapetus,séculier,ecclésiastique,homme,Agapetus (70)
conf.,oui,Agapitus,séculier,ecclésiastique,homme,Agapitus (71)
martyr,non,Agapitus,séculier,ecclésiastique,homme,Agapitus (72)
martyr,oui,Agapius,séculier,laïc,homme,Agapius (73)
martyr,oui,Agatha,séculier,laïc,femme,Agatha (74)
conf.,oui,Agatho,séculier,ecclésiastique,homme,Agatho (75)
conf.,oui,Agatho,régulier,ecclésiastique,homme,Agatho (76)
conf.,oui,Agericus,séculier,ecclésiastique,homme,Agericus (77)
martyr,oui,Agilolfus,séculier,ecclésiastique,homme,Agilolfus (78)
conf.,oui,Agilus,séculier,laïc,homme,Agilus (79)
conf.,oui,Agilus,régulier,ecclésiastique,homme,Agilus (80)
martyr,non,Aglibertus,séculier,indéterminé,homme,Aglibertus (81)
conf.,oui,Agnellus,régulier,ecclésiastique,homme,Agnellus (82)
conf.,oui,Agnes,régulier,ecclésiastique,femme,Agnes (83)
conf.,oui,Agnes,régulier,ecclésiastique,femme,Agnes (84)
conf.,oui,Agnes,régulier,ecclésiastique,femme,Agnes (85)
martyr,oui,Agnes,séculier,laïc,femme,Agnes (86)
conf.,non,Agnofleda,séculier,laïc,femme,Agnofleda (87)
martyr,oui,Agoardus,séculier,indéterminé,homme,Agoardus (88)
conf.,oui,Agricola,séculier,ecclésiastique,homme,Agricola (89)
martyr,non,Agricola,séculier,laïc,homme,Agricola (90)
martyr,oui,Agrippanus,séculier,ecclésiastique,homme,Agrippanus (91)
martyr,oui,Agrippina,séculier,laïc,femme,Agrippina (92)
conf.,oui,Agrippinus,séculier,ecclésiastique,homme,Agrippinus (93)
conf.,oui,Agritius,séculier,ecclésiastique,homme,Agritius (94)
conf.,oui,Aibertus,séculier,ecclésiastique,homme,Aibertus (95)
conf.,oui,Aichadrus,régulier,ecclésiastique,homme,Aichadrus (96)
conf.,oui,Aidus,séculier,ecclésiastique,homme,Aidus (97)
conf.,oui,Aidus,séculier,ecclésiastique,homme,Aidus (98)
conf.,oui,Aidus,séculier,ecclésiastique,homme,Aidus (99)
martyr,oui,Aigulfus,régulier,ecclésiastique,homme,Aigulfus (100)
